market_type,asset_symbol,ref_date,close_price,daily_return_pct,sma_7d,sma_21d,volatility_7d,drawdown_pct,trend_signal
STOCK,AAPL,"2025-11-24 00:00:00",275.92000000,NULL,275.92,275.92,0,0.00,NEUTRAL
STOCK,ABEV3.SA,"2025-11-24 00:00:00",13.77000000,NULL,13.77,13.77,0,0.00,NEUTRAL
CRYPTO,ADA,"2025-11-24 22:54:00",0.42911383,NULL,0.43,0.43,0,0.00,NEUTRAL
CRYPTO,ADA,"2025-11-24 22:56:00",0.42891050,-0.05,0.43,0.43,0.0001,-0.05,NEUTRAL
STOCK,AZUL4.SA,"2025-11-24 00:00:00",0.86000000,NULL,0.86,0.86,0,0.00,NEUTRAL
STOCK,B3SA3.SA,"2025-11-24 00:00:00",13.98000000,NULL,13.98,13.98,0,0.00,NEUTRAL
STOCK,BBAS3.SA,"2025-11-24 00:00:00",21.84000000,NULL,21.84,21.84,0,0.00,NEUTRAL
STOCK,BBDC4.SA,"2025-11-24 00:00:00",18.80000000,NULL,18.80,18.80,0,0.00,NEUTRAL
CRYPTO,BCH,"2025-11-24 22:53:00",552.54327529,NULL,552.54,552.54,0,0.00,NEUTRAL
CRYPTO,BCH,"2025-11-24 22:54:00",552.49658282,-0.01,552.52,552.52,0.0233,-0.01,NEUTRAL
CRYPTO,BCH,"2025-11-24 22:56:00",552.74826395,0.05,552.60,552.60,0.1093,0.00,NEUTRAL
CRYPTO,BNB,"2025-11-24 22:53:00",866.71305496,NULL,866.71,866.71,0,0.00,NEUTRAL
CRYPTO,BNB,"2025-11-24 22:54:00",866.62781450,-0.01,866.67,866.67,0.0426,-0.01,NEUTRAL
CRYPTO,BNB,"2025-11-24 22:56:00",865.55741687,-0.12,866.30,866.30,0.5258,-0.13,NEUTRAL
STOCK,BPAC11.SA,"2025-11-24 00:00:00",51.19000000,NULL,51.19,51.19,0,0.00,NEUTRAL
CRYPTO,BTC,"2025-11-24 22:53:00",88651.72914274,NULL,88651.73,88651.73,0,0.00,NEUTRAL
CRYPTO,BTC,"2025-11-24 22:55:00",88589.06870850,-0.07,88620.40,88620.40,31.3302,-0.07,NEUTRAL
CRYPTO,BTC,"2025-11-24 22:56:00",88605.29982660,0.02,88615.37,88615.37,26.5528,-0.05,NEUTRAL
STOCK,CMIG4.SA,"2025-11-24 00:00:00",11.20000000,NULL,11.20,11.20,0,0.00,NEUTRAL
CRYPTO,DOGE,"2025-11-24 22:53:00",0.15230979,NULL,0.15,0.15,0,0.00,NEUTRAL
CRYPTO,DOGE,"2025-11-24 22:55:00",0.15230954,0.00,0.15,0.15,0,0.00,NEUTRAL
CRYPTO,DOGE,"2025-11-24 22:56:00",0.15232816,0.01,0.15,0.15,0,0.00,NEUTRAL
STOCK,EQTL3.SA,"2025-11-24 00:00:00",38.75000000,NULL,38.75,38.75,0,0.00,NEUTRAL
CRYPTO,ETH,"2025-11-24 22:53:00",2954.99266430,NULL,2954.99,2954.99,0,0.00,NEUTRAL
CRYPTO,ETH,"2025-11-24 22:55:00",2954.49201793,-0.02,2954.74,2954.74,0.2503,-0.02,NEUTRAL
CRYPTO,ETH,"2025-11-24 22:56:00",2955.14795184,0.02,2954.88,2954.88,0.2799,0.00,NEUTRAL
STOCK,GGBR4.SA,"2025-11-24 00:00:00",18.59000000,NULL,18.59,18.59,0,0.00,NEUTRAL
CRYPTO,HBAR,"2025-11-24 22:53:00",0.14848180,NULL,0.15,0.15,0,0.00,NEUTRAL
CRYPTO,HBAR,"2025-11-24 22:54:00",0.14845352,-0.02,0.15,0.15,0,-0.02,NEUTRAL
CRYPTO,HBAR,"2025-11-24 22:56:00",0.14853118,0.05,0.15,0.15,0,0.00,NEUTRAL
CRYPTO,HYPE,"2025-11-24 22:53:00",33.51599197,NULL,33.52,33.52,0,0.00,NEUTRAL
CRYPTO,HYPE,"2025-11-24 22:54:00",33.55155861,0.11,33.53,33.53,0.0178,0.00,NEUTRAL
CRYPTO,HYPE,"2025-11-24 22:56:00",33.55530832,0.01,33.54,33.54,0.0177,0.00,NEUTRAL
STOCK,ITSA4.SA,"2025-11-24 00:00:00",11.81000000,NULL,11.81,11.81,0,0.00,NEUTRAL
STOCK,ITUB4.SA,"2025-11-24 00:00:00",39.82000000,NULL,39.82,39.82,0,0.00,NEUTRAL
CRYPTO,LEO,"2025-11-24 22:53:00",9.62122115,NULL,9.62,9.62,0,0.00,NEUTRAL
CRYPTO,LEO,"2025-11-24 22:54:00",9.62122537,0.00,9.62,9.62,0,0.00,NEUTRAL
CRYPTO,LEO,"2025-11-24 22:56:00",9.62084652,0.00,9.62,9.62,0.0002,0.00,NEUTRAL
CRYPTO,LINK,"2025-11-24 22:53:00",13.01773553,NULL,13.02,13.02,0,0.00,NEUTRAL
CRYPTO,LINK,"2025-11-24 22:54:00",13.01870905,0.01,13.02,13.02,0.0005,0.00,NEUTRAL
CRYPTO,LINK,"2025-11-24 22:56:00",13.01232189,-0.05,13.02,13.02,0.0028,-0.05,NEUTRAL
STOCK,LREN3.SA,"2025-11-24 00:00:00",15.10000000,NULL,15.10,15.10,0,0.00,NEUTRAL
CRYPTO,LTC,"2025-11-24 22:53:00",85.99967651,NULL,86.00,86.00,0,0.00,NEUTRAL
CRYPTO,LTC,"2025-11-24 22:55:00",86.00031295,0.00,86.00,86.00,0.0003,0.00,NEUTRAL
CRYPTO,LTC,"2025-11-24 22:56:00",85.99936567,0.00,86.00,86.00,0.0004,0.00,NEUTRAL
STOCK,MGLU3.SA,"2025-11-24 00:00:00",9.90000000,NULL,9.90,9.90,0,0.00,NEUTRAL
STOCK,MSFT,"2025-11-24 00:00:00",474.00000000,NULL,474.00,474.00,0,0.00,NEUTRAL
STOCK,PETR3.SA,"2025-11-24 00:00:00",34.39000000,NULL,34.39,34.39,0,0.00,NEUTRAL
STOCK,PETR4.SA,"2025-11-24 00:00:00",32.54000000,NULL,32.54,32.54,0,0.00,NEUTRAL
STOCK,PRIO3.SA,"2025-11-24 00:00:00",38.54000000,NULL,38.54,38.54,0,0.00,NEUTRAL
STOCK,RADL3.SA,"2025-11-24 00:00:00",23.20000000,NULL,23.20,23.20,0,0.00,NEUTRAL
STOCK,RAIL3.SA,"2025-11-24 00:00:00",15.25000000,NULL,15.25,15.25,0,0.00,NEUTRAL
STOCK,RENT3.SA,"2025-11-24 00:00:00",42.97000000,NULL,42.97,42.97,0,0.00,NEUTRAL
CRYPTO,SOL,"2025-11-24 22:53:00",138.69805069,NULL,138.70,138.70,0,0.00,NEUTRAL
CRYPTO,SOL,"2025-11-24 22:54:00",138.70616716,0.01,138.70,138.70,0.0041,0.00,NEUTRAL
CRYPTO,SOL,"2025-11-24 22:56:00",138.69173904,-0.01,138.70,138.70,0.0059,-0.01,NEUTRAL
STOCK,SUZB3.SA,"2025-11-24 00:00:00",47.98000000,NULL,47.98,47.98,0,0.00,NEUTRAL
STOCK,TAEE11.SA,"2025-11-24 00:00:00",42.94000000,NULL,42.94,42.94,0,0.00,NEUTRAL
CRYPTO,TRX,"2025-11-24 22:54:00",0.27542589,NULL,0.28,0.28,0,0.00,NEUTRAL
CRYPTO,TRX,"2025-11-24 22:56:00",0.27542603,0.00,0.28,0.28,0,0.00,NEUTRAL
CRYPTO,USDC,"2025-11-24 22:53:00",0.99956963,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDC,"2025-11-24 22:54:00",0.99977658,0.02,1.00,1.00,0.0001,0.00,NEUTRAL
CRYPTO,USDC,"2025-11-24 22:56:00",0.99968521,-0.01,1.00,1.00,0.0001,-0.01,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:53:00",0.99902454,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:54:00",0.99901361,0.00,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:56:00",0.99896761,0.00,1.00,1.00,0,-0.01,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:53:00",0.99950149,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:54:00",0.99966195,0.02,1.00,1.00,0.0001,0.00,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:56:00",0.99961952,0.00,1.00,1.00,0.0001,0.00,NEUTRAL
