market_type,asset_symbol,asset_name,ref_date,close_price,daily_return_pct,sma_7d,sma_21d,volatility_7d,roc_14d_pct,drawdown_pct,volume_ratio,trend_signal
CRYPTO,LINK,Chainlink,2025-11-25T19:58:00,12.971497028,0.25,12.84,12.84,0.0762,,0,0.98,NEUTRAL
CRYPTO,USDT,Tether USDt,2025-11-25T19:57:00,0.999529031,0,1,1,0.0002,,-0.04,0.96,NEUTRAL
CRYPTO,ADA,Cardano,2025-11-25T19:57:00,0.415637601,0.01,0.42,0.42,0.0001,,-0.07,0.91,NEUTRAL
CRYPTO,DOGE,Dogecoin,2025-11-25T19:57:00,0.150533934,0.03,0.15,0.15,0.0008,,0,0.96,NEUTRAL
CRYPTO,SOL,Solana,2025-11-25T19:57:00,136.437712932,-0.03,136.55,136.82,0.0634,-3.04,-47.9,0.81,DOWNTREND
CRYPTO,XMR,Monero,2025-11-25T19:57:00,380.869911846,-0.05,384.63,384.63,2.5195,,-1.42,1.02,NEUTRAL
CRYPTO,USDC,USDC,2025-11-25T19:57:00,0.999756411,0,1,1,0.0001,,-0.02,1.01,NEUTRAL
CRYPTO,BNB,BNB,2025-11-25T19:57:00,853.620414967,-0.01,852.69,878.51,0.6852,-8.46,-34.85,0.77,DOWNTREND
CRYPTO,XRP,XRP,2025-11-25T19:57:00,2.170190468,0.01,2.19,2.17,0.0147,-2.09,-38.97,0.93,UPTREND
CRYPTO,BTC,Bitcoin,2025-11-25T19:57:00,86808.346638147,-0.02,87272.41,90085.06,311.2181,-6.61,-30.42,0.85,DOWNTREND
CRYPTO,TRX,TRON,2025-11-25T19:57:00,0.273430888,0,0.27,0.27,0.0007,,0,0.98,NEUTRAL
CRYPTO,ZEC,Zcash,2025-11-25T19:57:00,491.413815356,-0.06,493.6,493.6,1.5556,,-0.89,1.02,NEUTRAL
CRYPTO,XLM,Stellar,2025-11-25T19:57:00,0.247588579,0.01,0.25,0.25,0.0004,,-0.34,0.9,NEUTRAL
CRYPTO,HBAR,Hedera,2025-11-25T19:57:00,0.142660902,-0.04,0.14,0.14,0.0002,,-0.34,0.87,NEUTRAL
CRYPTO,BCH,Bitcoin Cash,2025-11-25T19:57:00,518.930763991,-0.01,520.76,520.76,1.2542,,-0.56,0.97,NEUTRAL
CRYPTO,ETH,Ethereum,2025-11-25T19:57:00,2917.724064948,-0.08,2902.05,2976.58,11.4978,-6.57,-39.61,0.71,DOWNTREND
CRYPTO,LTC,Litecoin,2025-11-25T19:57:00,85.352366057,0,84.23,84.23,0.766,,0,1.03,NEUTRAL
CRYPTO,USDe,Ethena USDe,2025-11-25T19:57:00,0.998921632,0,1,1,0.0001,,-0.03,0.94,NEUTRAL
CRYPTO,HYPE,Hyperliquid,2025-11-25T19:57:00,32.148087565,0.01,32.51,32.51,0.2467,,-1.64,0.96,NEUTRAL
CRYPTO,LEO,UNUS SED LEO,2025-11-25T19:57:00,9.646527497,0,9.62,9.62,0.0183,,0,0.96,NEUTRAL
CRYPTO,LINK,Chainlink,2025-11-25T19:56:00,12.939574591,1.05,12.82,12.82,0.0569,,0,0.98,NEUTRAL
CRYPTO,HYPE,Hyperliquid,2025-11-25T19:55:00,32.144593679,-1.65,32.57,32.57,0.2077,,-1.65,0.96,NEUTRAL
CRYPTO,USDe,Ethena USDe,2025-11-25T19:55:00,0.998950707,-0.03,1,1,0.0001,,-0.03,0.94,NEUTRAL
CRYPTO,USDT,Tether USDt,2025-11-25T19:55:00,0.999523648,-0.04,1,1,0.0002,,-0.04,0.95,NEUTRAL
CRYPTO,LTC,Litecoin,2025-11-25T19:55:00,85.351916551,1.86,84.04,84.04,0.6409,,0,1.04,NEUTRAL
CRYPTO,ETH,Ethereum,2025-11-25T19:55:00,2919.942138566,0.86,2898.76,3000.27,9.3596,-3.46,-39.56,0.7,DOWNTREND
CRYPTO,XLM,Stellar,2025-11-25T19:55:00,0.247562442,-0.34,0.25,0.25,0.0003,,-0.35,0.89,NEUTRAL
CRYPTO,BNB,BNB,2025-11-25T19:55:00,853.711213401,0.18,852.46,883.49,0.5842,-5.82,-34.84,0.77,DOWNTREND
CRYPTO,XRP,XRP,2025-11-25T19:55:00,2.170003783,-1.35,2.2,2.18,0.0114,0.37,-38.97,0.93,UPTREND
CRYPTO,BTC,Bitcoin,2025-11-25T19:55:00,86827.271543188,-0.74,87362.56,90855.97,236.9202,-5.72,-30.4,0.85,DOWNTREND
CRYPTO,TRX,TRON,2025-11-25T19:55:00,0.273441608,0.48,0.27,0.27,0.0006,,0,0.98,NEUTRAL
CRYPTO,SOL,Solana,2025-11-25T19:55:00,136.483840741,-0.09,136.57,137.68,0.0413,4.31,-47.88,0.8,DOWNTREND
CRYPTO,XMR,Monero,2025-11-25T19:55:00,381.042974244,-1.38,385.26,385.26,2.076,,-1.38,1.02,NEUTRAL
CRYPTO,USDC,USDC,2025-11-25T19:55:00,0.999742444,-0.01,1,1,0.0001,,-0.02,1.01,NEUTRAL
CRYPTO,DOGE,Dogecoin,2025-11-25T19:55:00,0.150481871,1.02,0.15,0.15,0.0007,,0,0.95,NEUTRAL
CRYPTO,HBAR,Hedera,2025-11-25T19:55:00,0.142711833,-0.3,0.14,0.14,0.0002,,-0.3,0.85,NEUTRAL
CRYPTO,BCH,Bitcoin Cash,2025-11-25T19:55:00,518.98943005,-0.44,521.07,521.07,1.0517,,-0.55,0.96,NEUTRAL
CRYPTO,ZEC,Zcash,2025-11-25T19:55:00,491.708186428,-0.83,493.97,493.97,1.3362,,-0.83,1.02,NEUTRAL
CRYPTO,ADA,Cardano,2025-11-25T19:55:00,0.415597403,-0.08,0.42,0.42,0.0001,,-0.08,0.9,NEUTRAL
CRYPTO,LEO,UNUS SED LEO,2025-11-25T19:55:00,9.646547118,0.39,9.62,9.62,0.0153,,0,0.95,NEUTRAL
CRYPTO,TRX,TRON,2025-11-25T11:52:00,0.272143153,0.02,0.27,0.27,0.0001,,-0.01,1,NEUTRAL
CRYPTO,DOGE,Dogecoin,2025-11-25T11:52:00,0.148955231,0.04,0.15,0.15,0.0,,0,1,NEUTRAL
CRYPTO,BNB,BNB,2025-11-25T11:52:00,852.18070886,0.01,853.99,890.07,4.6034,-8.1,-34.96,0.82,DOWNTREND
CRYPTO,XLM,Stellar,2025-11-25T11:52:00,0.24841037,0.02,0.25,0.25,0.0,,0,1,NEUTRAL
CRYPTO,XMR,Monero,2025-11-25T11:52:00,386.374128393,0.12,386.11,386.11,0.2152,,0,1,NEUTRAL
CRYPTO,LINK,Chainlink,2025-11-25T11:52:00,12.805378823,0,12.8,12.8,0.0048,,0,1,NEUTRAL
